City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Airai,-8.93,125.41,68.43,75,95,6.04,TL,2020-06-18 01:36:10
1,Talnakh,69.49,88.4,42.8,56,100,4.47,RU,2020-06-18 01:32:43
2,Ushuaia,-54.8,-68.3,33.8,86,2,4.7,AR,2020-06-18 01:32:41
3,Liberta,17.03,-61.78,82.4,74,20,8.05,AG,2020-06-18 01:36:11
4,Mar Del Plata,-38.0,-57.56,62.6,100,75,13.87,AR,2020-06-18 01:34:52
5,Hilo,19.73,-155.09,84.2,62,20,12.75,US,2020-06-18 01:36:11
6,Vaini,-21.2,-175.2,75.2,73,40,12.75,TO,2020-06-18 01:36:11
7,Avarua,-21.21,-159.78,73.4,69,0,9.17,CK,2020-06-18 01:32:43
8,Tasiilaq,65.61,-37.64,39.2,80,100,27.51,GL,2020-06-18 01:36:12
9,Conceicao Do Mato Dentro,-19.04,-43.42,54.97,94,20,1.54,BR,2020-06-18 01:36:12
10,Khatanga,71.97,102.5,53.6,41,99,4.88,RU,2020-06-18 01:36:12
11,Rikitea,-23.12,-134.97,75.54,84,100,17.27,PF,2020-06-18 01:32:43
12,Coos Bay,43.37,-124.22,71.01,72,1,27.51,US,2020-06-18 01:31:42
13,Hermanus,-34.42,19.23,48.99,83,0,1.01,ZA,2020-06-18 01:32:45
14,Atuona,-9.8,-139.03,80.82,72,42,13.53,PF,2020-06-18 01:36:13
15,Busselton,-33.65,115.33,55.0,74,48,19.84,AU,2020-06-18 01:36:13
16,Upernavik,72.79,-56.15,33.67,90,0,8.16,GL,2020-06-18 01:36:13
17,Urumqi,43.8,87.6,73.4,43,63,4.47,CN,2020-06-18 01:36:13
18,Isiolo,0.35,37.58,64.4,64,48,12.15,KE,2020-06-18 01:36:14
19,Georgetown,5.41,100.34,82.4,78,20,3.36,MY,2020-06-18 01:36:14
20,Boende,-0.22,20.87,69.1,65,93,1.7,CD,2020-06-18 01:36:14
21,Clyde River,70.47,-68.59,33.8,87,90,5.82,CA,2020-06-18 01:33:35
22,Esperance,-33.87,121.9,53.6,76,90,17.22,AU,2020-06-18 01:32:48
23,Punta Arenas,-53.15,-70.92,26.6,92,0,2.24,CL,2020-06-18 01:32:44
24,Mezen,65.85,44.24,43.72,67,0,1.99,RU,2020-06-18 01:36:15
25,Pandharpur,17.67,75.33,76.21,82,93,13.31,IN,2020-06-18 01:36:15
26,Provideniya,64.38,-173.3,55.4,66,7,11.18,RU,2020-06-18 01:36:15
27,Mataura,-46.19,168.86,45.03,75,0,3.06,NZ,2020-06-18 01:36:16
28,Ostrovnoy,68.05,39.51,45.37,73,23,10.54,RU,2020-06-18 01:36:17
29,Monrovia,6.3,-10.8,73.4,94,75,3.36,LR,2020-06-18 01:36:17
30,Barrow,71.29,-156.79,42.8,70,1,12.75,US,2020-06-18 01:36:18
31,Port Elizabeth,-33.92,25.57,44.6,87,0,4.7,ZA,2020-06-18 01:36:18
32,Chapais,49.78,-74.85,78.8,54,1,4.7,CA,2020-06-18 01:33:07
33,Shache,38.42,77.24,79.36,21,9,6.93,CN,2020-06-18 01:36:18
34,Cape Town,-33.93,18.42,52.0,76,0,3.36,ZA,2020-06-18 01:32:20
35,Touros,-5.2,-35.46,73.4,88,11,4.7,BR,2020-06-18 01:36:19
36,Bluff,-46.6,168.33,47.21,62,7,10.2,NZ,2020-06-18 01:36:19
37,Nyurba,63.28,118.33,55.27,84,100,7.9,RU,2020-06-18 01:36:20
38,Neryungri,56.67,124.65,70.09,37,55,3.4,RU,2020-06-18 01:36:20
39,Severo-Kurilsk,50.68,156.12,46.53,82,97,9.55,RU,2020-06-18 01:36:20
40,Aden,12.78,45.04,86.67,81,100,7.94,YE,2020-06-18 01:36:21
41,Puerto Ayora,-0.74,-90.35,69.01,93,74,1.01,EC,2020-06-18 01:36:21
42,Umm Kaddadah,13.6,26.69,84.49,41,56,7.11,SD,2020-06-18 01:36:21
43,Thinadhoo,0.53,72.93,83.75,77,25,8.9,MV,2020-06-18 01:36:21
44,Nikolskoye,59.7,30.79,64.0,88,0,4.47,RU,2020-06-18 01:32:45
45,Pacific Grove,36.62,-121.92,73.4,33,1,6.93,US,2020-06-18 01:36:21
46,New Norfolk,-42.78,147.06,41.0,83,60,3.49,AU,2020-06-18 01:36:22
47,Qaanaaq,77.48,-69.36,29.55,95,5,0.65,GL,2020-06-18 01:36:22
48,Port Lincoln,-34.73,135.87,61.68,53,100,20.71,AU,2020-06-18 01:32:43
49,Bredasdorp,-34.53,20.04,39.2,86,8,5.17,ZA,2020-06-18 01:32:43
50,Mayo,38.89,-76.51,68.0,88,90,8.05,US,2020-06-18 01:36:23
51,Winnemucca,40.97,-117.74,69.8,16,1,3.36,US,2020-06-18 01:31:49
52,Phulabani,20.47,84.23,75.61,86,100,7.02,IN,2020-06-18 01:36:23
53,Hearst,49.68,-83.67,72.55,44,0,11.18,CA,2020-06-18 01:36:23
54,Acapulco,16.86,-99.89,86.0,79,75,5.82,MX,2020-06-18 01:34:35
55,Henties Bay,-22.12,14.28,75.0,25,0,3.0,NA,2020-06-18 01:36:24
56,Aklavik,68.22,-135.01,60.8,67,75,6.93,CA,2020-06-18 01:36:24
57,Kodiak,57.79,-152.41,51.8,87,90,14.99,US,2020-06-18 01:32:54
58,Jacareacanga,-6.22,-57.75,75.38,75,58,1.66,BR,2020-06-18 01:36:25
59,Geraldton,-28.77,114.6,64.4,63,75,18.34,AU,2020-06-18 01:36:25
60,Mehamn,71.04,27.85,50.56,66,89,6.93,NO,2020-06-18 01:36:25
61,Kurchum,48.57,83.65,69.33,48,5,9.4,KZ,2020-06-18 01:36:25
62,Saint-Felicien,48.65,-72.45,80.6,47,40,5.82,CA,2020-06-18 01:36:26
63,Rawson,-43.3,-65.1,51.76,49,95,9.95,AR,2020-06-18 01:36:26
64,Sisimiut,66.94,-53.67,36.25,83,67,8.81,GL,2020-06-18 01:36:26
65,Kabansk,52.05,106.65,59.0,54,40,2.24,RU,2020-06-18 01:36:26
66,Kiama,-34.68,150.87,64.0,62,93,1.01,AU,2020-06-18 01:36:26
67,Mount Gambier,-37.83,140.77,57.2,71,81,16.11,AU,2020-06-18 01:36:27
68,Albany,42.6,-73.97,77.0,47,50,2.44,US,2020-06-18 01:32:42
69,East London,-33.02,27.91,58.5,62,0,10.29,ZA,2020-06-18 01:36:27
70,Iqaluit,63.75,-68.51,37.4,74,75,9.17,CA,2020-06-18 01:36:27
71,Alexandria,31.22,29.96,71.6,73,40,14.99,EG,2020-06-18 01:36:27
72,Tuatapere,-46.13,167.68,45.99,68,8,6.53,NZ,2020-06-18 01:36:28
73,Broken Hill,-31.95,141.43,57.2,50,0,9.17,AU,2020-06-18 01:31:55
74,Chuy,-33.7,-53.46,66.69,80,100,13.47,UY,2020-06-18 01:33:01
75,Tautira,-17.73,-149.15,84.2,70,75,6.93,PF,2020-06-18 01:33:55
76,Knysna,-34.04,23.05,64.4,34,0,3.36,ZA,2020-06-18 01:36:29
77,Verkhnevilyuysk,63.45,120.32,62.71,77,100,3.2,RU,2020-06-18 01:36:29
78,San Patricio,19.22,-104.7,80.6,78,40,11.41,MX,2020-06-18 01:36:29
79,Stevenage,51.9,-0.2,60.01,100,100,4.7,GB,2020-06-18 01:36:30
80,Prince Rupert,54.32,-130.32,57.2,82,90,2.24,CA,2020-06-18 01:36:30
81,Ponta Do Sol,32.67,-17.1,66.2,82,20,9.17,PT,2020-06-18 01:36:30
82,Yeppoon,-23.13,150.73,73.4,53,75,13.87,AU,2020-06-18 01:36:30
83,Dikson,73.51,80.55,33.17,91,22,5.19,RU,2020-06-18 01:36:31
84,Arona,28.1,-16.68,73.0,88,75,5.82,ES,2020-06-18 01:36:31
85,Saskylakh,71.92,114.08,64.24,53,80,13.76,RU,2020-06-18 01:36:31
86,Hofn,64.25,-15.21,47.5,69,27,9.33,IS,2020-06-18 01:33:20
87,Coquimbo,-29.95,-71.34,51.8,87,65,1.12,CL,2020-06-18 01:33:01
88,Beyneu,45.32,55.2,78.3,20,0,4.65,KZ,2020-06-18 01:36:32
89,Hobart,-42.88,147.33,42.8,75,20,8.05,AU,2020-06-18 01:32:27
90,Senanga,-16.12,23.27,47.88,72,0,4.41,ZM,2020-06-18 01:36:32
91,Grand Gaube,-20.01,57.66,68.0,88,69,7.0,MU,2020-06-18 01:36:32
92,Yellowknife,62.46,-114.35,59.0,41,40,10.29,CA,2020-06-18 01:36:32
93,Wakkanai,45.41,141.67,53.6,93,75,4.7,JP,2020-06-18 01:36:33
94,Norrtalje,59.76,18.7,54.0,100,1,2.24,SE,2020-06-18 01:36:33
95,Turka,49.15,23.03,61.0,84,72,1.5,UA,2020-06-18 01:36:33
96,Jumla,29.27,82.18,67.96,57,67,2.95,NP,2020-06-18 01:36:33
97,Castro,-24.79,-50.01,55.38,95,51,5.03,BR,2020-06-18 01:36:34
98,Buzdyak,54.58,54.55,52.12,81,25,7.9,RU,2020-06-18 01:36:34
99,Santa Cruz,-17.8,-63.17,75.2,78,22,12.75,BO,2020-06-18 01:36:34
100,Pontes E Lacerda,-15.23,-59.34,71.78,76,2,3.44,BR,2020-06-18 01:36:34
101,Pevek,69.7,170.31,43.3,63,94,9.42,RU,2020-06-18 01:36:34
102,Lusambo,-4.97,23.45,60.85,44,3,2.01,CD,2020-06-18 01:36:35
103,Erzin,36.96,36.2,71.01,89,4,1.83,TR,2020-06-18 01:36:35
104,Kuzedeyevo,53.33,87.2,66.83,70,100,8.23,RU,2020-06-18 01:36:35
105,Yarmouth,41.71,-70.23,64.99,82,1,3.36,US,2020-06-18 01:36:35
106,Kalmunai,7.42,81.82,82.53,73,100,5.39,LK,2020-06-18 01:36:35
107,Caravelas,-17.71,-39.25,71.08,77,6,8.39,BR,2020-06-18 01:36:36
108,Hithadhoo,-0.6,73.08,84.11,74,0,7.61,MV,2020-06-18 01:36:36
109,Marathon,44.9,-89.77,78.8,47,1,4.7,US,2020-06-18 01:36:36
110,Vao,-22.67,167.48,72.55,80,86,12.55,NC,2020-06-18 01:36:36
111,Kaitangata,-46.28,169.85,48.0,54,32,5.99,NZ,2020-06-18 01:33:25
112,Lebu,-37.62,-73.65,52.84,83,100,24.9,CL,2020-06-18 01:36:37
113,Arraial Do Cabo,-22.97,-42.03,64.4,93,40,4.7,BR,2020-06-18 01:32:56
114,Wenzhou,28.0,120.67,96.06,43,100,7.07,CN,2020-06-18 01:35:34
115,Rafai,4.95,23.92,67.96,96,96,2.19,CF,2020-06-18 01:36:38
116,Conceicao Da Barra,-18.59,-39.73,68.11,88,34,5.23,BR,2020-06-18 01:36:38
117,Labuhan,-6.88,112.21,82.67,74,0,6.04,ID,2020-06-18 01:36:38
118,Port Alfred,-33.59,26.89,51.01,83,0,1.99,ZA,2020-06-18 01:32:55
119,Butaritari,3.07,172.79,83.01,72,22,11.34,KI,2020-06-18 01:36:39
120,Marsa Matruh,31.35,27.25,69.8,73,40,11.41,EG,2020-06-18 01:36:39
121,Lasa,46.62,10.7,42.8,100,90,4.7,IT,2020-06-18 01:36:39
122,Bethel,41.37,-73.41,68.0,82,1,4.7,US,2020-06-18 01:36:40
123,High Rock,26.62,-78.28,77.0,94,75,8.05,BS,2020-06-18 01:36:40
124,Merrill,45.18,-89.68,78.8,47,1,6.93,US,2020-06-18 01:35:58
125,Elliot,-31.33,27.85,39.52,66,40,3.78,ZA,2020-06-18 01:36:41
126,Bengkulu,-3.8,102.27,82.9,68,8,2.01,ID,2020-06-18 01:32:54
127,Helena,46.59,-112.04,51.8,81,90,4.7,US,2020-06-18 01:36:41
128,Cangucu,-31.39,-52.68,66.0,91,97,1.99,BR,2020-06-18 01:36:42
129,Parkes,-33.13,148.18,63.0,56,12,8.01,AU,2020-06-18 01:36:42
130,Longyearbyen,78.22,15.64,39.2,76,75,8.05,SJ,2020-06-18 01:36:42
131,Igarka,67.47,86.58,48.25,50,100,8.97,RU,2020-06-18 01:36:42
132,Port Hardy,50.7,-127.42,60.8,67,75,8.05,CA,2020-06-18 01:36:42
133,Makakilo City,21.35,-158.09,86.0,51,20,12.75,US,2020-06-18 01:36:43
134,Qaqortoq,60.72,-46.03,41.0,65,93,12.75,GL,2020-06-18 01:36:43
135,Neyyattinkara,8.4,77.08,80.6,83,40,6.93,IN,2020-06-18 01:36:43
136,Port Blair,11.67,92.75,82.47,80,100,4.79,IN,2020-06-18 01:33:10
137,Humaita,-7.51,-63.02,75.99,81,62,1.39,BR,2020-06-18 01:36:44
138,Sao Felix Do Xingu,-6.64,-51.99,70.74,87,27,1.72,BR,2020-06-18 01:36:44
139,Nome,64.5,-165.41,75.0,52,40,12.75,US,2020-06-18 01:33:05
140,Kruisfontein,-34.0,24.73,53.26,42,0,7.14,ZA,2020-06-18 01:36:44
141,Pasighat,28.07,95.33,76.57,88,100,1.05,IN,2020-06-18 01:36:45
142,Faanui,-16.48,-151.75,82.04,75,100,5.55,PF,2020-06-18 01:36:45
143,Yongan,39.7,113.69,70.74,42,94,1.92,CN,2020-06-18 01:36:45
144,Natal,-5.79,-35.21,73.4,88,8,8.05,BR,2020-06-18 01:32:35
145,Deputatskiy,69.3,139.9,78.67,24,0,8.86,RU,2020-06-18 01:36:46
146,Atasu,48.68,71.64,58.57,70,66,6.58,KZ,2020-06-18 01:36:46
147,Key West,24.56,-81.78,84.2,70,40,8.05,US,2020-06-18 01:35:17
148,Ugoofaaru,5.67,73.0,84.04,80,37,12.08,MV,2020-06-18 01:36:47
149,Hobyo,5.35,48.53,79.41,71,100,22.26,SO,2020-06-18 01:36:47
150,Sakakah,29.97,40.21,78.8,22,0,8.05,SA,2020-06-18 01:36:47
151,Bawku,11.06,-0.24,81.93,72,3,13.11,GH,2020-06-18 01:36:47
152,Colares,38.8,-9.45,62.01,84,0,13.0,PT,2020-06-18 01:36:47
153,Moranbah,-22.0,148.05,69.64,63,97,22.1,AU,2020-06-18 01:36:48
154,Tigre,-34.43,-58.58,72.0,73,100,8.05,AR,2020-06-18 01:36:48
155,Constitucion,-35.33,-72.42,54.01,84,100,17.87,CL,2020-06-18 01:33:39
156,Sao Filipe,14.9,-24.5,76.95,77,0,8.01,CV,2020-06-18 01:32:58
157,Kapaa,22.08,-159.32,80.6,69,75,14.99,US,2020-06-18 01:36:49
158,Torbay,47.67,-52.73,57.2,50,90,23.04,CA,2020-06-18 01:34:03
159,El Alto,-4.27,-81.21,64.04,85,23,13.38,PE,2020-06-18 01:36:49
160,Juan Lacaze,-34.43,-57.44,71.01,76,100,4.0,UY,2020-06-18 01:36:50
161,Belle Fourche,44.67,-103.85,73.99,51,42,4.0,US,2020-06-18 01:33:04
162,Desaguadero,-16.57,-69.04,44.4,60,0,3.06,PE,2020-06-18 01:36:50
163,Borovoy,55.43,86.08,60.8,63,99,4.47,RU,2020-06-18 01:36:50
164,Tura,25.52,90.22,74.75,98,100,8.08,IN,2020-06-18 01:33:21
165,Dalby,-27.18,151.27,68.0,56,0,14.99,AU,2020-06-18 01:36:52
166,Tonantins,-2.87,-67.8,74.93,87,96,1.99,BR,2020-06-18 01:36:52
167,San Vicente,-26.62,-54.13,65.66,76,97,7.99,AR,2020-06-18 01:36:52
168,Carnarvon,-24.87,113.63,68.0,100,90,9.17,AU,2020-06-18 01:36:52
169,Waipawa,-41.41,175.52,51.8,93,100,25.28,NZ,2020-06-18 01:36:53
170,Sobolevo,54.43,31.9,60.19,94,0,7.2,RU,2020-06-18 01:36:53
171,Abu Kamal,34.45,40.92,78.94,29,0,14.72,SY,2020-06-18 01:36:53
172,Aqtobe,50.28,57.21,57.2,62,2,2.24,KZ,2020-06-18 01:36:53
173,Tirur,10.9,75.92,71.6,100,75,5.82,IN,2020-06-18 01:36:53
174,Berdigestyakh,62.1,126.7,77.18,32,57,10.94,RU,2020-06-18 01:36:54
175,Rosita,13.93,-84.4,75.04,96,100,1.74,NI,2020-06-18 01:36:54
176,Amapa,1.0,-52.0,72.1,98,100,1.48,BR,2020-06-18 01:36:54
177,Ngunguru,-35.62,174.5,61.0,95,0,15.01,NZ,2020-06-18 01:36:54
178,Soyo,-6.13,12.37,71.73,91,37,2.21,AO,2020-06-18 01:36:55
179,Jamestown,42.1,-79.24,71.6,56,20,8.05,US,2020-06-18 01:32:43
180,Narsaq,60.92,-46.05,41.0,65,98,12.75,GL,2020-06-18 01:34:30
181,Mango,27.98,-82.31,82.4,74,1,4.47,US,2020-06-18 01:36:56
182,Cabo San Lucas,22.89,-109.91,91.4,24,40,16.11,MX,2020-06-18 01:36:56
183,Alihe,50.57,123.72,67.17,49,92,5.93,CN,2020-06-18 01:36:56
184,Karlskoga,59.33,14.52,51.8,87,0,3.36,SE,2020-06-18 01:36:56
185,Kalga,50.93,118.9,66.42,68,47,6.6,RU,2020-06-18 01:36:56
186,Keelung,25.13,121.74,96.01,59,75,14.99,TW,2020-06-18 01:36:57
187,Kikwit,-5.04,18.82,65.34,43,46,2.93,CD,2020-06-18 01:36:57
188,Tuktoyaktuk,69.45,-133.04,42.8,93,75,6.93,CA,2020-06-18 01:36:57
189,Juneau,58.3,-134.42,57.2,71,90,6.93,US,2020-06-18 01:32:01
