City ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,Hermanus,0,ZA,clear sky,67,-34.42,19.23,55.0,0.0,0,5.77
1,Lavrentiya,8,RU,clear sky,64,65.58,-171.0,48.56,0.0,0,1.12
2,Gainesville,20,US,few clouds,54,29.65,-82.32,91.0,0.0,0,9.17
3,Qaanaaq,0,GL,clear sky,85,77.48,-69.36,35.11,0.0,0,1.39
4,Jamestown,75,US,broken clouds,54,42.1,-79.24,78.8,0.0,0,8.05
5,Dikson,58,RU,broken clouds,93,73.51,80.55,33.26,0.0,0,16.49
6,Salalah,75,OM,broken clouds,79,17.02,54.09,86.0,0.0,0,6.93
7,Iskateley,54,RU,broken clouds,54,67.68,53.15,47.57,0.0,0,2.51
8,Wuwei,62,CN,broken clouds,36,37.93,102.64,73.0,0.0,0,7.02
9,Saskylakh,58,RU,broken clouds,62,71.92,114.08,62.73,0.0,0,5.77
10,Rikitea,93,PF,light rain,84,-23.12,-134.97,76.19,0.37,0,16.71
11,Pecos,1,US,clear sky,8,31.42,-103.49,100.4,0.0,0,14.99
12,Cap Malheureux,100,MU,light rain,77,-19.98,57.61,70.0,0.51,0,8.99
13,Vaini,20,TO,few clouds,83,-21.2,-175.2,69.8,0.0,0,8.05
14,Yellowknife,20,CA,few clouds,71,62.46,-114.35,61.0,0.0,0,14.99
15,Chuy,40,UY,scattered clouds,67,-33.7,-53.46,67.53,0.0,0,15.14
16,Ushuaia,8,AR,clear sky,80,-54.8,-68.3,33.8,0.0,0,7.09
17,Bonthe,99,SL,light rain,84,7.53,-12.51,80.35,0.34,0,11.12
18,Kodiak,90,US,overcast clouds,81,57.79,-152.41,50.0,0.0,0,12.75
19,Mahebourg,75,MU,broken clouds,68,-20.41,57.7,71.6,0.0,0,12.75
20,Iqaluit,90,CA,overcast clouds,56,63.75,-68.51,42.8,0.0,0,5.82
21,Cairns,90,AU,overcast clouds,94,-16.92,145.77,70.0,0.0,0,12.75
22,Ribeira Grande,75,PT,broken clouds,72,38.52,-28.7,66.2,0.0,0,11.41
23,Sitka,90,US,moderate rain,87,57.05,-135.33,51.8,2.79,0,10.29
24,Mar Del Plata,90,AR,overcast clouds,87,-38.0,-57.56,57.99,0.0,0,14.99
25,Cape Town,0,ZA,clear sky,48,-33.93,18.42,62.6,0.0,0,6.93
26,Busselton,18,AU,few clouds,96,-33.65,115.33,44.01,0.0,0,4.99
27,Sao Joao Da Barra,40,BR,scattered clouds,50,-21.64,-41.05,78.8,0.0,0,6.93
28,East London,0,ZA,clear sky,60,-33.02,27.91,65.19,0.0,0,13.49
29,Moron,40,AR,scattered clouds,72,-34.65,-58.62,64.99,0.0,0,13.87
30,Bethel,40,US,scattered clouds,69,41.37,-73.41,81.0,0.0,0,10.29
31,Saldanha,0,ZA,clear sky,51,-33.01,17.94,62.6,0.0,0,4.7
32,Tobol,10,KZ,clear sky,65,52.68,62.58,52.68,0.0,0,8.66
33,Te Anau,37,NZ,scattered clouds,96,-45.42,167.72,32.05,0.0,0,1.23
34,Castro,92,BR,overcast clouds,68,-24.79,-50.01,67.44,0.0,0,11.18
35,Kudahuvadhoo,73,MV,light rain,73,2.67,72.89,84.13,0.95,0,2.15
36,Bambous Virieux,75,MU,broken clouds,68,-20.34,57.76,71.6,0.0,0,12.75
37,Evensk,98,RU,overcast clouds,84,61.95,159.23,49.46,0.0,0,4.88
38,Longyearbyen,75,SJ,broken clouds,65,78.22,15.64,44.6,0.0,0,5.82
39,Hambantota,88,LK,overcast clouds,83,6.12,81.12,81.79,0.0,0,15.43
40,Punta Arenas,90,CL,overcast clouds,86,-53.15,-70.92,39.2,0.0,0,14.99
41,Emerald,3,AU,clear sky,82,-23.53,148.17,55.4,0.0,0,6.93
42,Bitung,40,ID,scattered clouds,94,1.45,125.18,77.0,0.0,0,1.12
43,Chokurdakh,45,RU,scattered clouds,44,70.63,147.92,73.13,0.0,0,8.57
44,Imeni Poliny Osipenko,100,RU,overcast clouds,96,52.42,136.49,41.94,0.0,0,8.81
45,Batagay-Alyta,0,RU,clear sky,54,67.8,130.41,60.31,0.0,0,2.48
46,San Quintin,81,MX,broken clouds,61,30.48,-115.95,66.7,0.0,0,10.63
47,Vardo,40,NO,scattered clouds,75,70.37,31.11,46.4,0.0,0,20.8
48,Georgetown,20,MY,few clouds,79,5.41,100.34,84.2,0.0,0,3.36
49,Ilulissat,90,GL,fog,64,69.22,-51.1,35.6,0.0,0,6.93
50,Victoria,4,HK,clear sky,74,22.29,114.16,84.0,0.0,0,5.01
51,Cotonou,20,BJ,few clouds,88,6.37,2.42,78.8,0.0,0,2.24
52,Pindi Gheb,40,PK,scattered clouds,37,33.24,72.27,84.2,0.0,0,12.75
53,Saint-Philippe,75,RE,broken clouds,73,-21.36,55.77,69.8,0.0,0,18.34
54,Mataura,0,NZ,clear sky,83,-46.19,168.86,39.0,0.0,0,3.0
55,Khatanga,83,RU,broken clouds,56,71.97,102.5,52.97,0.0,0,11.92
56,Shingu,100,JP,moderate rain,96,33.73,135.98,66.38,1.25,0,6.53
57,Ancud,75,CL,broken clouds,87,-41.87,-73.82,55.0,0.0,0,11.41
58,Komsomolskiy,72,UZ,broken clouds,43,40.43,71.72,71.6,0.0,0,4.7
59,Camana,97,PE,overcast clouds,75,-16.62,-72.71,64.63,0.0,0,7.81
60,Hamilton,75,US,broken clouds,57,39.18,-84.53,78.8,0.0,0,5.82
61,Alofi,48,NU,scattered clouds,83,-19.06,-169.92,71.6,0.0,0,10.29
62,Taksimo,60,RU,broken clouds,82,56.34,114.88,48.18,0.0,0,2.35
63,Port Elizabeth,0,ZA,clear sky,77,-33.92,25.57,59.0,0.0,0,6.93
64,Acapulco,75,MX,broken clouds,58,16.86,-99.89,87.8,0.0,0,8.05
65,Chiang Khong,40,TH,scattered clouds,100,20.26,100.4,77.0,0.0,0,5.82
66,Alekseyevsk,8,RU,clear sky,90,57.84,108.35,46.62,0.0,0,3.06
67,Kosh-Agach,5,RU,clear sky,64,50.0,88.67,47.91,0.0,0,1.86
68,Korla,40,CN,scattered clouds,45,41.76,86.15,84.0,0.0,0,1.01
69,Nkowakowa,54,ZA,broken clouds,70,-23.89,30.29,42.8,0.0,0,5.82
70,Flinders,7,AU,clear sky,86,-34.58,150.86,46.99,0.0,0,1.01
71,Thompson,90,CA,moderate rain,93,55.74,-97.86,35.6,0.0,0,13.87
72,Barrow,1,US,clear sky,75,71.29,-156.79,41.0,0.0,0,8.05
73,Labuan,75,MY,broken clouds,100,5.28,115.24,77.0,0.0,0,8.03
74,Russell,75,US,broken clouds,48,32.35,-85.2,82.99,0.0,0,9.17
75,Saint George,1,US,clear sky,14,37.1,-113.58,75.2,0.0,0,8.05
76,Sarmanovo,0,RU,clear sky,51,55.26,52.59,59.0,0.0,0,4.47
77,Camocim,54,BR,broken clouds,58,-2.9,-40.84,85.84,0.0,0,9.62
78,Tiksi,99,RU,overcast clouds,71,71.69,128.87,52.95,0.0,0,3.13
79,Clyde River,75,CA,broken clouds,90,70.47,-68.59,33.8,0.0,0,5.82
80,Katsuura,100,JP,light rain,93,35.13,140.3,66.99,0.19,0,9.53
81,Sibolga,98,ID,overcast clouds,76,1.74,98.78,76.39,0.0,0,3.74
82,Hobart,100,AU,overcast clouds,86,-42.88,147.33,41.0,0.0,0,4.7
83,Jizan,40,SA,scattered clouds,63,17.33,42.67,93.2,0.0,0,9.17
84,Sohbatpur,0,PK,clear sky,24,28.52,68.54,102.4,0.0,0,20.18
85,Bredasdorp,0,ZA,clear sky,87,-34.53,20.04,53.6,0.0,0,4.97
86,Puerto Ayora,20,EC,few clouds,57,-0.74,-90.35,80.6,0.0,0,23.04
87,Lebu,100,CL,moderate rain,94,-37.62,-73.65,52.27,3.23,0,14.47
88,Faanui,63,PF,broken clouds,81,-16.48,-151.75,79.65,0.0,0,5.14
89,Middelburg,10,ZA,clear sky,75,-25.78,29.46,45.86,0.0,0,12.28
90,Codrington,100,AU,overcast clouds,83,-38.27,141.97,50.18,0.0,0,12.84
91,Kavieng,2,PG,moderate rain,75,-2.57,150.8,82.15,1.96,0,3.96
92,Pekan,20,MY,few clouds,94,3.48,103.4,77.0,0.0,0,1.12
93,Itoman,20,JP,few clouds,94,26.12,127.67,82.4,0.0,0,14.99
94,Alice Springs,0,AU,clear sky,45,-23.7,133.88,52.0,0.0,0,5.82
95,Paamiut,82,GL,broken clouds,81,61.99,-49.67,38.14,0.0,0,10.04
96,Tilichiki,0,RU,clear sky,83,60.47,166.1,51.15,0.0,0,3.44
97,Bluff,1,NZ,clear sky,83,-46.6,168.33,39.0,0.0,0,3.0
98,San Patricio,20,MX,few clouds,66,19.22,-104.7,86.0,0.0,0,11.41
99,Provideniya,11,RU,few clouds,56,64.38,-173.3,56.66,0.0,0,3.36
100,Albany,4,US,clear sky,49,42.6,-73.97,84.99,0.0,0,5.93
101,Kabare,61,CD,broken clouds,80,-2.47,28.82,60.01,0.0,0,1.25
102,Tutoia,38,BR,light rain,75,-2.76,-42.27,83.61,0.27,0,4.05
103,Kapaa,90,US,overcast clouds,88,22.08,-159.32,77.0,0.0,0,10.29
104,Samarkand,0,UZ,clear sky,30,39.65,66.96,68.0,0.0,0,11.41
105,Mazamari,78,PE,broken clouds,48,-11.33,-74.53,86.07,0.0,0,1.5
106,Pisco,90,PE,overcast clouds,77,-13.7,-76.22,64.99,0.0,0,2.24
107,Kinel-Cherkassy,0,RU,clear sky,75,53.47,51.47,56.26,0.0,0,9.51
108,New Norfolk,100,AU,overcast clouds,83,-42.78,147.06,41.0,0.0,0,2.35
109,Aklavik,75,CA,shower rain,81,68.22,-135.01,51.8,0.0,0,3.36
110,Zernograd,100,RU,overcast clouds,64,46.85,40.31,73.99,0.0,0,14.0
111,Bossangoa,65,CF,light rain,80,6.49,17.46,74.37,0.25,0,4.07
112,Cidreira,81,BR,broken clouds,66,-30.18,-50.21,73.74,0.0,0,8.93
113,Lata,0,PT,clear sky,79,40.16,-8.33,69.01,0.0,0,5.99
114,General Roca,100,AR,overcast clouds,41,-39.03,-67.58,57.2,0.0,0,8.05
115,Labuhan,5,ID,moderate rain,84,-6.88,112.21,78.49,1.12,0,5.55
116,Kahului,20,US,few clouds,65,20.89,-156.47,78.8,0.0,0,11.41
117,Ahipara,18,NZ,few clouds,81,-35.17,173.17,50.38,0.0,0,5.21
118,Hilo,90,US,light rain,78,19.73,-155.09,73.4,0.0,0,5.82
119,Ulaangom,23,MN,few clouds,41,49.98,92.07,64.67,0.0,0,8.21
120,Pyshchug,0,RU,clear sky,67,58.89,45.71,54.64,0.0,0,3.04
121,Novoagansk,59,RU,broken clouds,62,61.94,76.66,43.84,0.0,0,12.64
122,Petukhovo,23,RU,few clouds,77,55.07,67.9,46.13,0.0,0,7.34
123,San Cristobal,40,VE,scattered clouds,55,7.77,-72.22,87.8,0.0,0,11.41
124,Norrtalje,29,SE,scattered clouds,77,59.76,18.7,66.0,0.0,0,3.0
125,Namtsy,29,RU,scattered clouds,76,62.72,129.67,51.8,0.0,0,4.47
126,Tuktoyaktuk,90,CA,overcast clouds,93,69.45,-133.04,44.6,0.0,0,6.93
127,Ostrovnoy,93,RU,overcast clouds,67,68.05,39.51,57.43,0.0,0,3.94
128,Butaritari,91,KI,overcast clouds,62,3.07,172.79,82.98,0.0,0,4.05
129,Misratah,0,LY,clear sky,38,32.38,15.09,85.17,0.0,0,11.92
130,Namatanai,12,PG,light rain,83,-3.67,152.43,79.84,0.5,0,6.46
131,Xichang,86,CN,overcast clouds,71,27.9,102.26,68.04,0.0,0,1.97
132,Sao Borja,42,BR,scattered clouds,63,-28.66,-56.0,78.21,0.0,0,14.32
133,Hatillo,6,PR,clear sky,97,18.49,-66.83,87.01,0.0,0,17.58
134,Vajszlo,40,HU,scattered clouds,60,45.86,17.98,73.4,0.0,0,4.7
135,Bandarbeyla,64,SO,broken clouds,70,9.49,50.81,81.5,0.0,0,31.32
136,Mareeba,90,AU,overcast clouds,94,-17.0,145.43,70.0,0.0,0,12.75
137,Denpasar,40,ID,scattered clouds,94,-8.65,115.22,82.4,0.0,0,19.46
138,Cascais,20,PT,few clouds,60,38.7,-9.42,70.0,0.0,0,12.75
139,Ninotsminda,40,GE,scattered clouds,87,41.26,43.59,57.2,0.0,0,4.7
140,Fandriana,93,MG,overcast clouds,90,-20.23,47.38,50.9,0.0,0,5.28
141,Balsta,18,SE,few clouds,49,59.57,17.53,73.0,0.0,0,3.36
142,Beringovskiy,6,RU,clear sky,58,63.05,179.32,48.11,0.0,0,0.4
143,Severo-Kurilsk,60,RU,broken clouds,87,50.68,156.12,41.54,0.0,0,8.43
144,Nanortalik,62,GL,broken clouds,78,60.14,-45.24,40.42,0.0,0,7.45
145,Skibbereen,75,IE,broken clouds,82,51.55,-9.27,60.8,0.0,0,6.93
146,Nabire,97,ID,light rain,86,-3.37,135.48,77.59,0.55,0,2.8
147,Kaitangata,25,NZ,scattered clouds,83,-46.28,169.85,39.54,0.0,0,8.01
148,Boa Vista,75,BR,broken clouds,74,2.82,-60.67,82.4,0.0,0,4.7
149,Caraballeda,41,VE,light rain,61,10.61,-66.85,81.0,0.52,0,1.99
150,Cam Ranh,20,VN,few clouds,74,11.92,109.16,86.0,0.0,0,1.12
151,Porto Belo,20,BR,few clouds,83,-27.16,-48.55,77.0,0.0,0,11.41
152,West Plains,20,US,few clouds,48,36.73,-91.85,82.4,0.0,0,4.7
153,Callaway,20,US,few clouds,62,30.15,-85.57,89.01,0.0,0,5.82
154,Marsh Harbour,99,BS,moderate rain,71,26.54,-77.06,82.45,1.99,0,11.41
