City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Gainesville,US,91.0,29.65,-82.32,Wyndham Garden Gainesville
4,Jamestown,US,78.8,42.1,-79.24,Hampton Inn & Suites Jamestown
6,Salalah,OM,86.0,17.02,54.09,HAMDAN PLAZA HOTEL
8,Wuwei,CN,73.0,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
9,Saskylakh,RU,62.73,71.92,114.08,
11,Pecos,US,100.4,31.42,-103.49,Knights Inn Pecos
13,Vaini,TO,69.8,-21.2,-175.2,Keleti Beach Resort
14,Yellowknife,CA,61.0,62.46,-114.35,The Explorer Hotel
15,Chuy,UY,67.53,-33.7,-53.46,Nuevo Hotel Plaza
19,Mahebourg,MU,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
21,Cairns,AU,70.0,-16.92,145.77,Mantra Trilogy Cairns
22,Ribeira Grande,PT,66.2,38.52,-28.7,Quinta da Meia Eira
25,Cape Town,ZA,62.6,-33.93,18.42,Southern Sun Waterfront Cape Town
27,Sao Joao Da Barra,BR,78.8,-21.64,-41.05,Pousada Porto De Canoas
28,East London,ZA,65.19,-33.02,27.91,Tu Casa
29,Moron,AR,64.99,-34.65,-58.62,Hotel Morón
30,Bethel,US,81.0,41.37,-73.41,Courtyard by Marriott Danbury
31,Saldanha,ZA,62.6,-33.01,17.94,Blue Bay Lodge
34,Castro,BR,67.44,-24.79,-50.01,CHACARA BAILLY
36,Bambous Virieux,MU,71.6,-20.34,57.76,Casa Tia Villa
39,Hambantota,LK,81.79,6.12,81.12,Bungalow 63
42,Bitung,ID,77.0,1.45,125.18,Peoplesight Learning Center ( PLC )
43,Chokurdakh,RU,73.13,70.63,147.92,
45,Batagay-Alyta,RU,60.31,67.8,130.41,
46,San Quintin,MX,66.7,30.48,-115.95,Old Mill Hotel
48,Georgetown,MY,84.2,5.41,100.34,Cititel Penang
50,Victoria,HK,84.0,22.29,114.16,Mini Hotel Central
51,Cotonou,BJ,78.8,6.37,2.42,Novotel Cotonou Orisha
52,Pindi Gheb,PK,84.2,33.24,72.27,Waqas Ali Home
53,Saint-Philippe,RE,69.8,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
58,Komsomolskiy,UZ,71.6,40.43,71.72,Ikathouse
59,Camana,PE,64.63,-16.62,-72.71,Hostal Morales
60,Hamilton,US,78.8,39.18,-84.53,Six Acres Bed & Breakfast
61,Alofi,NU,71.6,-19.06,-169.92,Taloa Heights
64,Acapulco,MX,87.8,16.86,-99.89,HS Hotsson Smart Acapulco
65,Chiang Khong,TH,77.0,20.26,100.4,Chiangkhong Green Inn Resident
68,Korla,CN,84.0,41.76,86.15,Gulisitan Hotel
73,Labuan,MY,77.0,5.28,115.24,Tiara Labuan Hotel
74,Russell,US,82.99,32.35,-85.2,Macs
75,Saint George,US,75.2,37.1,-113.58,Best Western Plus Abbey Inn
77,Camocim,BR,85.84,-2.9,-40.84,Hotel Ilha do Amor
81,Sibolga,ID,76.39,1.74,98.78,Hotel Syariah CN Darussalam
83,Jizan,SA,93.2,17.33,42.67,شهدان. ابوالحجر
84,Sohbatpur,PK,102.4,28.52,68.54,قادری ہوٹل
86,Puerto Ayora,EC,80.6,-0.74,-90.35,Finch Bay Galapagos Hotel
88,Faanui,PF,79.65,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Pekan,MY,77.0,3.48,103.4,Pekan Budget Hotel
93,Itoman,JP,82.4,26.12,127.67,Southern Beach Hotel & Resort Okinawa
98,San Patricio,MX,86.0,19.22,-104.7,Hotel Cabo Blanco
100,Albany,US,84.99,42.6,-73.97,
101,Kabare,CD,60.01,-2.47,28.82,Hôtel Panorama
103,Kapaa,US,77.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
104,Samarkand,UZ,68.0,39.65,66.96,Ideal Hotel
105,Mazamari,PE,86.07,-11.33,-74.53,Hospedaje Ratto
106,Pisco,PE,64.99,-13.7,-76.22,Hostal San Isidro Oficial
